Key	InBundleFile	BundleValue	UsedInFile
******************************************************************* 
menu.MainMenu	Bund	Main Menu	null
menu.Setup	Bund	Set Up	null
menu.Profile	Bund	Profile	null
menu.Rate	Bund	Rate	null
menu.Quotation	Bund	Quotation	null
menu.Operation	Bund	Operation	null
menu.Accounting	Bund	Accounting	null
menu.HR	Bund	HR	null
menu.Report	Bund	Report	null
menu.Control	Bund	Control	null
menu.Admin	Bund	Admin	null
menu.Password	Bund	Password	null
menu.Logout	Bund	Logout	null
main.WelcomeTo	Bund	Welcome To	null
main.XPCsystem	Bund	XPC express cargo system	null
setup.Title	Bund	Setup	null
setup.Region	Bund	Region	null
setup.Country	Bund	Country	null
setup.Branch	Bund	Branch	null
setup.JobType	Bund	Job Type	null
setup.StatusDefinition	Bund	Status Definition	null
setup.PartnerType	Bund	Partner Type	null
setup.ContainerType	Bund	Container Type	null
setup.WeightType	Bund	Weight Type	null
setup.Currency	Bund	Currency	null
setup.ListRegion	Bund	List Region	null
setup.AddRegion	Bund	Add Region	null
setup.EditRegion	Bund	Edit Region	null
setup.ListCountry	Bund	List Country	null
setup.AddCountry	Bund	Add Country	null
setup.EditCountry	Bund	Edit Country	null
setup.ListBranch	Bund	List Branch	null
setup.AddBranch	Bund	Add Branch	null
setup.EditBranch	Bund	Edit Branch	null
setup.ListJobType	Bund	List JobType	null
setup.AddJobType	Bund	Add JobType	null
setup.EditJobType	Bund	Edit JobType	null
setup.ListStatusDefinition	Bund	List Status Definition	null
setup.AddStatusDefinition	Bund	Add Status Definition	null
setup.EditStatusDefinition	Bund	Edit Status Definition	null
setup.ListPartnerType	Bund	List Partner Type	null
setup.AddPartnerType	Bund	Add Partner Type	null
setup.EditPartnerType	Bund	Edit Partner Type	null
setup.ListContainerType	Bund	List Container Type	null
setup.AddContainerType	Bund	Add Container Type	null
setup.EditContainerType	Bund	Edit Container Type	null
setup.ListWeightType	Bund	List Weight Type	null
setup.AddWeightType	Bund	Add Weight Type	null
setup.EditWeightType	Bund	Edit Weight Type	null
setup.ListCurrency	Bund	List Currency Names	null
setup.AddCurrency	Bund	Add Currency	null
setup.EditCurrency	Bund	Edit Currency	null
setup.Location	Bund	Location	null
setup.TypeDefinition	Bund	Type Definition	null
setup.Accounts	Bund	Accounts	null
setup.Misc	Bund	Miscellaneous	null
setup.InlandType	Bund	Inland Type	null
setup.ListInlandType	Bund	List Inland Type	null
setup.AddInlandType	Bund	Add Inland Type	null
setup.EditInlandType	Bund	Edit Inland Type	null
setup.AccountCategory	Bund	Account Category	null
setup.AccountType	Bund	Account Type	null
setup.AccountGroup	Bund	Account Group	null
setup.Account	Bund	Account	null
setup.TaxGroup	Bund	Tax Group 	null
setup.AccountExtension	Bund	Account Extension 	null
setup.PrinterSetup	Bund	Printer Setup 	null
setup.findCurrency	Bund	Search Currency	null
setup.listCurrency	Bund	List Currency	null
setup.ListAccountGroup	Bund	List Account Group 	null
ListAccountGroup	Bund	List Account Group 	null
setup.AddAccountGroup	Bund	Add Account Group 	null
AddAccountGroup	Bund	Add Account Group 	null
EditAccountGroup	Bund	Edit Account Group 	null
setup.AddAccountCategory	Bund	Add Account Category 	null
setup.ListAccountCategory	Bund	List Account Category 	null
setup.EditAccountCategory	Bund	Edit Account Category 	null
setup.AddAccountExtension	Bund	Add Account Extension 	null
setup.ListAccountExtension	Bund	List Account Extension 	null
setup.EditAccountExtension	Bund	Edit Account Extension 	null
AddAccountExtension	Bund	Add Account Extension 	null
ListAccountExtension	Bund	List Account Extension 	null
setup.AddAccountType	Bund	Add Account Type 	null
setup.ListAccountType	Bund	List Account Type 	null
setup.EditAccountType	Bund	Edit Account Type 	null
AddAccountType	Bund	Add Account Type 	null
ListAccountType	Bund	List Account Type 	null
setup.AddAccount	Bund	Add Account 	null
setup.ListAccount	Bund	List Account 	null
setup.EditAccount	Bund	Edit Account 	null
AddAccount	Bund	Add Account	null
ListAccounts	Bund	List Accounts 	null
setup.ListTaxGroupItem	Bund	List Tax Group Item	null
setup.ListTaxGroup	Bund	List Tax Group Item	null
setup.AddTaxGroupItem	Bund	Add Tax Group Item	null
setup.AddTaxGroup	Bund	Add Tax Group	null
setup.EditTaxGroupItem	Bund	Edit Tax Group Item	null
setup.EditTaxGroup	Bund	Edit Tax Group	null
setup.TaxGroupItem	Bund	 Tax Group Item	null
setup.NoteType	Bund	Note Type	null
setup.AddNoteType	Bund	Add Note Type	null
setup.ListNoteType	Bund	List Note Type	null
setup.EditNoteType	Bund	Edit Note Type	null
setup.ListPrinter	Bund	 List Printer 	null
setup.listPrinter	Bund	 Printer List	null
setup.findPrinter	Bund	Search Printer	null
SearchPrinter	Bund	Search Printer	null
setup.AddPrinter	Bund	Add Printer	null
setup.EditPrinter	Bund	Edit Printer	null
setup.Printer	Bund	Printer	null
profile.CustomerDetail	Bund	Customer Information	null
profile.SearchCustomer	Bund	Search Customer	null
profile.Vendor	Bund	Vendor	null
profile.AddVendor	Bund	Add Vendor	null
profile.EditVendor	Bund	Edit Vendor	null
profile.VendorDetail	Bund	Vendor Information	null
profile.ListVendor	Bund	List Vendor	null
profile.NotifyParty	Bund	Notify Party	null
profile.ListNotifyParty	Bund	List Notify Party	null
profile.EditNotifyParty	Bund	Edit Notify Party	null
profile.SearchNotifyParty	Bund	Search Notify Party	null
profile.NotifyPartyDetail	Bund	Notify Party Information	null
profile.Port	Bund	Port	null
profile.ListPort	Bund	List Ports	null
profile.listPort	Bund	List Ports	null
profile.EditPort	Bund	Edit Port	null
profile.AddPort	Bund	Add Port	null
profile.findPort	Bund	Search Port	null
profile.ExchangeRate	Bund	Exchange Rate	null
profile.findExchangeRate	Bund	Search Exchange Rate	null
profile.AddExchangeRate	Bund	Add Exchange Rate	null
profile.EditExchangeRate	Bund	Edit Exchange Rate	null
profile.ListExchangeRate	Bund	List Exchange Rate	null
profile.listExchangeRate	Bund	List Exchange Rate	null
rate.Title	Bund	Rate	null
rate.VendorRate	Bund	Vendor Rate	null
rate.ListVendorRate	Bund	List Vendor Rate	null
rate.AddVendorRate	Bund	Add Vendor Rate	null
rate.FreightRate	Bund	Freight Rate	null
rate.EditFreightRate	Bund	Edit Freight Rate	null
rate.AddFreightRate	Bund	Add Freight Rate	null
rate.NewFreightRate	Bund	New Freight Rate	null
rate.findFreightRate	Bund	Search Freight Rate	null
rate.listFreightRate	Bund	List Freight Rates	null
